City,State,Type,Population [2011],Popuation [2001],Rate For 10 Years(%),Rate for 1 Year(%),Rate for 1 Month(%),New Population for 2021,Population Estimated for 2021,Growth Rate till 2020,New Population till 2020,Population Estimated for 2020,Growth Rate till 2020,New Population till 2019,Population Estimated for 2019,Rate For Jan to Aug(%),New Population for 2020 Aug,Population Estimated for 2020 Till Aug
Shimoga,Karnataka,C-1T,"3,22,428","2,74,352",17.52347349,1.752347349,0.146028946,56500,378928,15.77112614,50850,373278,14.01877879,45200,367628,1.168231568,3766,371394
Chandrapur,Maharashtra,C-1T,"3,21,036","2,89,450",10.91242011,1.091242011,0.090936834,35032,356068,9.821178099,31529,352565,8.729936088,28026,349062,0.727494672,2335,351397
Junagadh,Gujarat,C-1T,"3,20,250","1,68,686",89.84978006,8.984978006,0.748748167,287743,607993,80.86480205,258969,579219,71.87982405,230195,550445,5.989985336,19182,569627
Thrissur,Kerala,C-1T,"3,15,596","3,17,526",-0.607824241,-0.060782424,-0.005065202,-1918,313677,-0.547041816,-1726,313869,-0.486259392,-1534,314062,-0.040521616,-127,313935
Alwar,Rajasthan,C-1T,"3,15,310","2,60,593",20.99711044,2.099711044,0.17497592,66205,381515,18.8973994,59585,374895,16.79768835,52964,368274,1.39980736,4413,372687
Bardhaman,West Bengal,C-1T,"3,14,638","2,85,602",10.16659547,1.016659547,0.084721629,31987,346625,9.149935923,28789,343427,8.133276376,25590,340228,0.677773032,2132,342360
Kulti,West Bengal,C-1T,"3,13,977","2,89,903",8.304156908,0.830415691,0.069201308,26073,340050,7.473741219,23465,337442,6.643325528,20858,334835,0.553610464,1738,336573
Nizamabad,Telangana,C-1T,"3,10,467","2,88,722",7.531466255,0.753146626,0.062762219,23382,333849,6.778319634,21044,331511,6.025173008,18706,329173,0.502097752,1558,330731
Parbhani,Maharashtra,C-1T,"3,07,191","2,59,329",18.45609245,1.845609245,0.15380077,56695,363886,16.61048321,51025,358216,14.76487396,45356,352547,1.23040616,3779,356326
Tumkur,Karnataka,C-1T,"3,05,821","2,48,929",22.85470958,2.285470958,0.190455913,69894,375715,20.56923862,62905,368726,18.28376766,55915,361736,1.523647304,4659,366395
Khammam,Telangana,C-1T,"3,05,000","2,18,689",39.46746293,3.946746293,0.328895524,120375,425375,35.52071664,108338,413338,31.57397034,96300,401300,2.631164192,8025,409325
Hisar,Haryana,MCorp,"3,01,249","2,10,432",43.15740952,4.315740952,0.359645079,130011,431260,38.84166857,117010,418259,34.52592762,104009,405258,2.877160632,8667,413925
Ozhukarai,Puducherry,C-1T,"3,00,028","2,17,707",37.81274833,3.781274833,0.315106236,113448,413476,34.0314735,102103,402131,30.25019866,90759,390787,2.520849888,7563,398350
Bihar Sharif,Bihar,C-1T,"2,96,889","2,32,071",27.93024549,2.793024549,0.232752046,82921,379810,25.13722094,74629,371518,22.34419639,66337,363226,1.862016368,5528,368754
Panipat,Haryana,C-1T,"2,94,150","2,61,740",12.382517,1.2382517,0.103187642,36423,330573,11.1442653,32780,326930,9.9060136,29138,323288,0.825501136,2428,325716
Darbhanga,Bihar,C-1T,"2,94,116","2,67,348",10.01241827,1.001241827,0.083436819,29448,323564,9.011176443,26503,320619,8.009934616,23558,317674,0.667494552,1963,319637
Bally,West Bengal,C-1T,"2,91,972","2,60,906",11.90697033,1.190697033,0.099224753,34765,326737,10.7162733,31288,323260,9.525576264,27812,319784,0.793798024,2317,322101
Aizawl,Mizoram,C-1T,"2,91,822","2,28,280",27.83511477,2.783511477,0.23195929,81228,373050,25.05160329,73106,364928,22.26809182,64983,356805,1.85567432,5415,362220
Dewas,Madhya Pradesh,C-1T,"2,89,438","2,31,672",24.93439,2.493439,0.207786583,72169,361607,22.440951,64952,354390,19.947512,57735,347173,1.662292664,4811,351984
Ichalkaranji,Maharashtra,C-1T,"2,87,570","2,57,610",11.62998331,1.162998331,0.096916528,33444,321014,10.46698498,30099,317669,9.303986648,26755,314325,0.775332224,2229,316554
Karnal,Haryana,C-1T,"2,86,974","2,10,476",36.34523651,3.634523651,0.302876971,104301,391275,32.71071286,93871,380845,29.07618921,83441,370415,2.423015768,6953,377368
Bathinda,Punjab,C-1T,"2,85,813","2,17,256",31.55586037,3.155586037,0.262965503,90190,376003,28.40027433,81171,366984,25.2446883,72152,357965,2.103724024,6012,363977
Jalna,Maharashtra,C-1T,"2,85,349","2,35,795",21.0157128,2.10157128,0.17513094,59968,345317,18.91414152,53971,339320,16.81257024,47974,333323,1.40104752,3997,337320
Eluru,Andhra Pradesh,C-1T,"2,83,648","1,90,347",49.01627029,4.901627029,0.408468919,139033,422681,44.11464326,125130,408778,39.21301623,111226,394874,3.267751352,9268,404142
Barasat,West Bengal,C-1T,"2,83,443","2,31,515",22.42964819,2.242964819,0.186913735,63575,347018,20.18668337,57217,340660,17.94371855,50860,334303,1.49530988,4238,338541
Kirari Suleman Nagar,Delhi,C-1T,"2,82,598","1,53,874",83.65545836,8.365545836,0.69712882,236408,519006,75.28991252,212767,495365,66.92436669,189126,471724,5.57703056,15760,487484
Purnia,Bihar,C-1T,"2,80,547","1,71,687",63.406082,6.3406082,0.528384017,177883,458430,57.0654738,160095,440642,50.7248656,142307,422854,4.227072136,11858,434712
Satna,Madhya Pradesh,C-1T,"2,80,248","2,25,464",24.29833588,2.429833588,0.202486132,68095,348343,21.86850229,61286,341534,19.4386687,54476,334724,1.619889056,4539,339263
Mau,Uttar Pradesh,C-1T,"2,79,060","2,12,657",31.22540053,3.122540053,0.260211671,87137,366197,28.10286048,78423,357483,24.98032042,69710,348770,2.081693368,5809,354579
Sonipat,Haryana,C-1T,"2,77,053","2,14,974",28.87744564,2.887744564,0.24064538,80005,357058,25.98970108,72005,349058,23.10195651,64004,341057,1.92516304,5333,346390
Farrukhabad,Uttar Pradesh,C-1T,"2,75,750","2,28,333",20.76659966,2.076659966,0.173054997,57263,333013,18.68993969,51537,327287,16.61327973,45811,321561,1.384439976,3817,325378
Durg,Chhattisgarh,C-1T,"2,68,679","2,32,517",15.55241122,1.555241122,0.129603427,41786,310465,13.9971701,37607,306286,12.44192898,33428,302107,1.036827416,2785,304892
Imphal,Manipur,C-1T,"2,64,986","2,21,492",19.63682661,1.963682661,0.163640222,52034,317020,17.67314395,46831,311817,15.70946129,41627,306613,1.309121776,3468,310081
Ratlam,Madhya Pradesh,C-1T,"2,64,810","2,22,202",19.17534496,1.917534496,0.159794541,50778,315588,17.25781046,45700,310510,15.34027597,40622,305432,1.278356328,3385,308817
Hapur,Uttar Pradesh,C-1T,"2,62,801","2,11,983",23.97267705,2.397267705,0.199772309,63000,325801,21.57540935,56700,319501,19.17814164,50400,313201,1.598178472,4200,317401
Arrah,Bihar,C-1T,"2,61,099","2,03,380",28.37988003,2.837988003,0.236499,74099,335198,25.54189203,66689,327788,22.70390402,59279,320378,1.891992,4939,325317
Anantapur,Andhra Pradesh,C-1T,"2,61,004","2,18,808",19.28448686,1.928448686,0.160704057,50333,311337,17.35603817,45299,306303,15.42758949,40266,301270,1.285632456,3355,304625
Karimnagar,Telangana,C-1T,"2,60,899","2,05,653",26.86369759,2.686369759,0.223864147,70087,330986,24.17732783,63078,323977,21.49095807,56069,316968,1.790913176,4672,321640
Etawah,Uttar Pradesh,C-1T,"2,56,838","2,10,453",22.04055062,2.204055062,0.183671255,56608,313446,19.83649556,50947,307785,17.6324405,45286,302124,1.46937004,3773,305897
Ambarnath,Maharashtra,C-1T,"2,54,003","2,03,795",24.636522,2.4636522,0.20530435,62577,316580,22.1728698,56319,310322,19.7092176,50062,304065,1.6424348,4171,308236
North Dumdum,West Bengal,C-1T,"2,53,625","2,20,042",15.26208633,1.526208633,0.127184053,38708,292333,13.7358777,34837,288462,12.20966906,30966,284591,1.017472424,2580,287171
Bharatpur,Rajasthan,C-1T,"2,52,109","2,04,587",23.22825986,2.322825986,0.193568832,58560,310669,20.90543387,52704,304813,18.58260789,46848,298957,1.548550656,3904,302861
Begusarai,Bihar,C-1T,"2,51,136","93,378",168.945576,16.8945576,1.4078798,424283,675419,152.0510184,381854,632990,135.1564608,339426,590562,11.2630384,28285,618847
New Delhi,Delhi,C-1T,"2,49,998","3,02,147",-17.25947966,-1.725947966,-0.143828997,-43148,206849,-15.53353169,-38833,211164,-13.80758373,-34518,215480,-1.150631976,-2876,212604
Gandhidham,Gujarat,C-1T,"2,48,705","1,66,388",49.47291872,4.947291872,0.412274323,123041,371746,44.52562685,110737,359442,39.57833498,98433,347138,3.298194584,8202,355340
Baranagar,West Bengal,C-1T,"2,48,466","2,50,768",-0.917979966,-0.091797997,-0.007649833,-2280,246185,-0.826181973,-2052,246413,-0.734383976,-1824,246642,-0.061198664,-152,246490
Tiruvottiyur,Tamil Nadu,C-1T,"2,48,059","2,12,281",16.85407549,1.685407549,0.140450629,41808,289867,15.16866794,37627,285686,13.48326039,33446,281505,1.123605032,2787,284292
Pondicherry,Puducherry,C-1T,"2,41,773","2,20,749",9.523938953,0.952393895,0.079366158,23026,264799,8.571545055,20723,262496,7.61915116,18421,260194,0.634929264,1535,261729
Sikar,Rajasthan,C-1T,"2,37,579","1,84,904",28.48775581,2.848775581,0.237397965,67680,305259,25.63898023,60912,298491,22.79020465,54144,291723,1.89918372,4512,296235
Thoothukudi,Tamil Nadu,C-1T,"2,37,374","2,16,058",9.86586935,0.986586935,0.082215578,23419,260793,8.879282415,21077,258451,7.89269548,18735,256109,0.657724624,1561,257670
Rewa,Madhya Pradesh,C-1T,"2,35,422","1,83,274",28.45357225,2.845357225,0.237113102,66985,302407,25.60821503,60287,295709,22.7628578,53588,289010,1.896904816,4465,293475
Mirzapur,Uttar Pradesh,C-1T,"2,33,691","2,05,053",13.96614534,1.396614534,0.116384545,32637,266328,12.56953081,29373,263064,11.17291627,26110,259801,0.93107636,2175,261976
Raichur,Karnataka,C-1T,"2,32,456","2,07,421",12.06965544,1.206965544,0.100580462,28056,260512,10.8626899,25250,257706,9.655724352,22445,254901,0.804643696,1870,256771
Pali,Rajasthan,C-1T,"2,29,956","1,87,641",22.55104162,2.255104162,0.187925347,51857,281813,20.29593746,46671,276627,18.0408333,41485,271441,1.503402776,3457,274898
Ramagundam,Telangana,C-1T,"2,29,644","2,36,600",-2.939983094,-0.293998309,-0.024499859,-6751,222892,-2.645984781,-6076,223567,-2.351986472,-5401,224243,-0.195998872,-450,223793
Silchar,Assam,C-1T,"2,29,136","1,84,105",24.45941175,2.445941175,0.203828431,56045,285181,22.01347058,50440,279576,19.5675294,44836,273972,1.630627448,3736,277708
Haridwar,Uttarakhand,C-1T,"2,28,832","1,75,010",30.75367122,3.075367122,0.256280594,70374,299206,27.6783041,63336,292168,24.60293698,56299,285131,2.050244752,4691,289822
Vijayanagaram,Andhra Pradesh,C-1T,"2,28,025","1,74,324",30.80528212,3.080528212,0.256710684,70243,298268,27.72475391,63219,291244,24.6442257,56194,284219,2.053685472,4682,288901
Tenali,Andhra Pradesh,C-1T,"2,25,982","1,84,937",22.19404446,2.219404446,0.184950371,50154,276136,19.97464001,45139,271121,17.75523557,40123,266105,1.479602968,3343,269448
Nagercoil,Tamil Nadu,C-1T,"2,24,849","2,08,179",8.00753198,0.800753198,0.066729433,18004,242853,7.206778782,16204,241053,6.406025584,14403,239252,0.533835464,1200,240452
Sri Ganganagar,Rajasthan,C-1T,"2,24,773","2,10,713",6.672583087,0.667258309,0.055604859,14998,239771,6.005324781,13498,238271,5.338066472,11998,236771,0.444838872,999,237770
Karawal Nagar,Delhi,C-1T,"2,24,666","1,48,549",51.24033147,5.124033147,0.427002762,115119,339785,46.11629832,103607,328273,40.99226518,92095,316761,3.416022096,7674,324435
Mango,Jharkhand,C-1T,"2,23,805","1,66,125",34.72084274,3.472084274,0.289340356,77706,301511,31.24875847,69936,293741,27.77667419,62165,285970,2.314722848,5180,291150
Thanjavur,Tamil Nadu,C-1T,"2,22,943","2,15,314",3.543197377,0.354319738,0.029526645,7899,230842,3.188877642,7109,230052,2.834557904,6319,229262,0.23621316,526,229788
Bulandshahr,Uttar Pradesh,C-1T,"2,22,519","1,76,425",26.12668273,2.612668273,0.217722356,58136,280655,23.51401446,52323,274842,20.90134618,46509,269028,1.741778848,3875,272903
Uluberia,West Bengal,C-1T,"2,22,240","2,02,135",9.946323002,0.9946323,0.082886025,22104,244344,8.9516907,19894,242134,7.9570584,17683,239923,0.6630882,1473,241396
Katni,Madhya Pradesh,C-1T,"2,21,883","1,87,029",18.63561266,1.863561266,0.155296772,41349,263232,16.77205139,37214,259097,14.90849013,33079,254962,1.242374176,2756,257718
Sambhal,Uttar Pradesh,C-1T,"2,20,813","1,82,478",21.00801192,2.100801192,0.175066766,46388,267201,18.90721073,41749,262562,16.80640954,37110,257923,1.400534128,3092,261015
Singrauli,Madhya Pradesh,C-1T,"2,20,257","1,85,190",18.93568767,1.893568767,0.157797397,41707,261964,17.0421189,37536,257793,15.14855014,33365,253622,1.262379176,2780,256402
Nadiad,Gujarat,C-1T,"2,18,095","1,92,913",13.05355264,1.305355264,0.108779605,28469,246564,11.74819738,25622,243717,10.44284211,22775,240870,0.87023684,1897,242767
Secunderabad,Telangana,C-1T,"2,17,910","2,06,102",5.729202046,0.572920205,0.04774335,12484,230394,5.156281845,11236,229146,4.58336164,9987,227897,0.3819468,832,228729
Naihati,West Bengal,C-1T,"2,17,900","2,15,303",1.206207066,0.120620707,0.010051726,2628,220528,1.085586363,2365,220265,0.964965656,2102,220002,0.080413808,175,220177
Yamunanagar,Haryana,C-1T,"2,16,677","1,89,696",14.22328357,1.422328357,0.118527363,30818,247495,12.80095521,27736,244413,11.37862686,24654,241331,0.948218904,2054,243385
Bidhannagar,West Bengal,C-1T,"2,15,514","1,64,221",31.23412962,3.123412962,0.260284414,67313,282827,28.11071666,60582,276096,24.9873037,53851,269365,2.082275312,4487,273852
Pallavaram,Tamil Nadu,C-1T,"2,15,417","1,44,623",48.95072015,4.895072015,0.407922668,105448,320865,44.05564814,94903,310320,39.16057612,84358,299775,3.263381344,7029,306804
Bidar,Karnataka,C-1T,"2,14,373","1,72,877",24.00319302,2.400319302,0.200026609,51456,265829,21.60287372,46310,260683,19.20255442,41165,255538,1.600212872,3430,258968
Munger,Bihar,C-1T,"2,13,303","1,88,050",13.4288753,1.34288753,0.111907294,28644,241947,12.08598777,25779,239082,10.74310024,22915,236218,0.895258352,1909,238127
Panchkula,Haryana,C-1T,"2,11,355","1,40,925",49.97693809,4.997693809,0.416474484,105628,316983,44.97924428,95065,306420,39.98155047,84503,295858,3.331795872,7041,302899
Burhanpur,Madhya Pradesh,C-1T,"2,10,886","1,93,725",8.858433346,0.885843335,0.073820278,18681,229567,7.972590015,16813,227699,7.08674668,14944,225830,0.590562224,1245,227075
Raurkela Industrial Township,Odisha,C-1T,"2,10,317","2,06,693",1.75332498,0.175332498,0.014611042,3687,214004,1.577992482,3318,213635,1.402659984,2950,213267,0.116888336,245,213512
Kharagpur,West Bengal,C-1T,"2,07,604","1,88,761",9.982464598,0.99824646,0.083187205,20723,228327,8.98421814,18651,226255,7.98597168,16579,224183,0.66549764,1381,225564
Dindigul,Tamil Nadu,C-1T,"2,07,327","1,96,955",5.266177553,0.526617755,0.043884813,10918,218245,4.739559795,9826,217153,4.21294204,8734,216061,0.351078504,727,216788
Gandhinagar,Gujarat,C-1T,"2,06,167","1,95,985",5.195295558,0.519529556,0.04329413,10710,216877,4.675766004,9639,215806,4.156236448,8568,214735,0.34635304,714,215449
Hospet,Karnataka,C-1T,"2,06,167","1,64,240",25.52788602,2.552788602,0.212732384,52630,258797,22.97509742,47367,253534,20.42230882,42104,248271,1.701859072,3508,251779
Nangloi Jat,Delhi,C-1T,"2,05,596","1,50,948",36.2031958,3.62031958,0.301693298,74432,280028,32.58287622,66989,272585,28.96255664,59545,265141,2.413546384,4962,270103
Malda,West Bengal,C-1T,"2,05,521","1,61,456",27.29226538,2.729226538,0.227435545,56091,261612,24.56303884,50482,256003,21.8338123,44873,250394,1.81948436,3739,254133
Ongole,Andhra Pradesh,C-1T,"2,04,746","1,50,471",36.0700733,3.60700733,0.300583944,73852,278598,32.46306597,66466,271212,28.85605864,59081,263827,2.404671552,4923,268750
Deoghar,Jharkhand,C-1T,"2,03,123","1,12,525",80.51366363,8.051366363,0.670947197,163541,366664,72.46229727,147187,350310,64.4109309,130833,333956,5.367577576,10902,344858
Chapra,Bihar,C-1T,"2,02,352","79,190",155.527213,15.5527213,1.296060108,314712,517064,139.9744917,283241,485593,124.4217704,251769,454121,10.36848086,20980,475101
Haldia,West Bengal,C-1T,"2,00,827","1,70,673",17.66770374,1.766770374,0.147230865,35481,236308,15.90093337,31933,232760,14.13416299,28385,229212,1.17784692,2365,231577
Khandwa,Madhya Pradesh,C-1T,"2,00,738","1,72,242",16.54416461,1.654416461,0.137868038,33210,233948,14.88974815,29889,230627,13.23533169,26568,227306,1.102944304,2214,229520
Nandyal,Andhra Pradesh,C-1T,"2,00,516","1,52,676",31.33432891,3.133432891,0.261119408,62830,263346,28.20089602,56547,257063,25.06746313,50264,250780,2.088955264,4188,254968
Morena,Madhya Pradesh,C-1T,"2,00,482","1,50,959",32.80559622,3.280559622,0.273379969,65769,266251,29.5250366,59192,259674,26.24447698,52615,253097,2.187039752,4384,257481
Amroha,Uttar Pradesh,C-1T,"1,98,471","1,65,129",20.19148666,2.019148666,0.168262389,40074,238545,18.17233799,36066,234537,16.15318933,32059,230530,1.346099112,2671,233201
Anand,Gujarat,C-1T,"1,98,282","1,30,685",51.72514061,5.172514061,0.431042838,102561,300843,46.55262655,92305,290587,41.38011249,82049,280331,3.448342704,6837,287168
Bhind,Madhya Pradesh,C-1T,"1,97,585","1,53,752",28.50889745,2.850889745,0.237574145,56329,253914,25.65800771,50696,248281,22.80711796,45063,242648,1.90059316,3755,246403
Bhalswa Jahangir Pur,Delhi,C-1T,"1,97,148","1,52,339",29.41400429,2.941400429,0.245116702,57989,255137,26.47260386,52190,249338,23.53120343,46391,243539,1.960933616,3865,247404
Madhyamgram,West Bengal,C-1T,"1,96,127","1,55,451",26.16644473,2.616644473,0.218053706,51319,247446,23.54980026,46187,242314,20.93315578,41055,237182,1.744429648,3421,240603
Bhiwani,Haryana,C-1T,"1,96,057","1,69,531",15.64669588,1.564669588,0.130389132,30676,226733,14.08202629,27608,223665,12.5173567,24541,220598,1.043113056,2045,222643
Berhampore,West Bengal,C-1T,"1,95,223","1,60,143",21.90542203,2.190542203,0.182545184,42764,237987,19.71487983,38487,233710,17.52433762,34211,229434,1.460361472,2850,232284
Ambala,Haryana,C-1T,"1,95,153","1,39,279",40.11660049,4.011660049,0.334305004,78288,273441,36.10494044,70459,265612,32.09328039,62630,257783,2.674440032,5219,263002
Morbi,Gujarat,C-1T,"1,94,947","1,45,719",33.78282859,3.378282859,0.281523572,65858,260805,30.40454573,59272,254219,27.02626287,52686,247633,2.252188576,4390,252023
Fatehpur,Uttar Pradesh,C-1T,"1,93,193","1,51,757",27.30417707,2.730417707,0.227534809,52749,245942,24.57375936,47474,240667,21.84334166,42199,235392,1.820278472,3516,238908
Raebareli,Uttar Pradesh,C-1T,"1,91,316","1,69,333",12.98211217,1.298211217,0.108184268,24836,216152,11.68390095,22353,213669,10.38568974,19869,211185,0.865474144,1655,212840
"Khora, Ghaziabad",Uttar Pradesh,C-1T,"1,90,400","1,29,564",46.95440091,4.695440091,0.391286674,89401,279801,42.25896082,80461,270861,37.56352073,71520,261920,3.130293392,5960,267880
Chittoor,Andhra Pradesh,C-1T,"1,89,332","1,52,654",24.02688433,2.402688433,0.200224036,45490,234822,21.6241959,40941,230273,19.22150746,36392,225724,1.601792288,3032,228756
Bhusawal,Maharashtra,C-1T,"1,87,421","1,72,372",8.730536282,0.873053628,0.072754469,16362,203783,7.857482652,14726,202147,6.984429024,13090,200511,0.582035752,1090,201601
Orai,Uttar Pradesh,C-1T,"1,87,137","1,39,318",34.3236337,3.43236337,0.286030281,64232,251369,30.89127033,57808,244945,27.45890696,51385,238522,2.288242248,4282,242804
Bahraich,Uttar Pradesh,C-1T,"1,86,223","1,68,323",10.63431617,1.063431617,0.088619301,19803,206026,9.570884553,17823,204046,8.507452936,15842,202065,0.708954408,1320,203385
Phusro,Jharkhand,C-1T,"1,86,139","83,463",123.0197812,12.30197812,1.025164843,228987,415126,110.7178031,206089,392228,98.41582496,183190,369329,8.201318744,15265,384594
Vellore,Tamil Nadu,C-1T,"1,85,803","1,77,230",4.837217175,0.483721718,0.040310143,8987,194790,4.353495462,8088,193891,3.869773744,7190,192993,0.322481144,599,193592
Mehsana,Gujarat,C-1T,"1,84,991","1,41,453",30.77912805,3.077912805,0.256492734,56938,241929,27.70121525,51244,236235,24.62330244,45550,230541,2.051941872,3795,234336
Raiganj,West Bengal,C-1T,"1,83,612","1,65,212",11.13720553,1.113720553,0.092810046,20449,204061,10.02348498,18404,202016,8.909764424,16359,199971,0.742480368,1363,201334
Sirsa,Haryana,C-1T,"1,82,534","1,60,735",13.56207422,1.356207422,0.113017285,24755,207289,12.2058668,22279,204813,10.84965938,19804,202338,0.90413828,1650,203988
Danapur,Bihar,C-1T,"1,82,429","1,31,176",39.07193389,3.907193389,0.325599449,71278,253707,35.1647405,64150,246579,31.25754711,57022,239451,2.604795592,4751,244202
Serampore,West Bengal,C-1T,"1,81,842","1,97,857",-8.094229671,-0.809422967,-0.067451914,-14718,167123,-7.284806703,-13246,168595,-6.475383736,-11774,170068,-0.539615312,-981,169087
Sultan Pur Majra,Delhi,C-1T,"1,81,554","1,64,426",10.41684405,1.041684405,0.086807034,18912,200466,9.375159645,17020,198574,8.33347524,15129,196683,0.694456272,1260,197943
Guna,Madhya Pradesh,C-1T,"1,80,935","1,37,175",31.90085657,3.190085657,0.265840471,57719,238654,28.71077091,51947,232882,25.52068526,46175,227110,2.126723768,3847,230957
Jaunpur,Uttar Pradesh,C-1T,"1,80,362","1,60,055",12.68751367,1.268751367,0.105729281,22883,203245,11.4187623,20595,200957,10.15001094,18306,198668,0.845834248,1525,200193
Panvel,Maharashtra,C-1T,"1,80,020","1,04,058",72.99967326,7.299967326,0.608330611,131414,311434,65.69970593,118272,298292,58.39973861,105131,285151,4.866644888,8760,293911
Shivpuri,Madhya Pradesh,C-1T,"1,79,977","1,46,892",22.52335049,2.252335049,0.187694587,40536,220513,20.27101544,36483,216460,18.01868039,32429,212406,1.501556696,2702,215108
Surendranagar Dudhrej,Gujarat,C-1T,"1,77,851","1,56,161",13.88951147,1.388951147,0.115745929,24702,202553,12.50056032,22232,200083,11.11160918,19762,197613,0.925967432,1646,199259
Unnao,Uttar Pradesh,C-1T,"1,77,658","1,44,662",22.80903071,2.280903071,0.190075256,40522,218180,20.52812764,36469,214127,18.24722457,32417,210075,1.520602048,2701,212776
Chinsurah,West Bengal,C-1T,"1,77,259","1,70,201",4.146861652,0.414686165,0.03455718,7350,184609,3.732175485,6615,183874,3.31748932,5880,183139,0.27645744,490,183629
Alappuzha,Kerala,C-1T,"1,74,164","1,77,029",-1.61837891,-0.161837891,-0.013486491,-2818,171345,-1.456541019,-2536,171627,-1.294703128,-2254,171910,-0.107891928,-187,171723
Kottayam,Kerala,C-1T,"1,72,878","1,29,894",33.09159776,3.309159776,0.275763315,57208,230086,29.78243798,51487,224365,26.47327821,45766,218644,2.20610652,3813,222457
Machilipatnam,Andhra Pradesh,C-1T,"1,69,892","1,79,353",-5.275072065,-0.527507207,-0.043958934,-8961,160930,-4.747564863,-8065,161826,-4.220057656,-7169,162723,-0.351671472,-597,162126
Shimla,Himachal Pradesh,C-1T,"1,69,578","1,42,555",18.95619235,1.895619235,0.15796827,32145,201723,17.06057312,28930,198508,15.16495388,25716,195294,1.26374616,2143,197437
Adoni,Andhra Pradesh,C-1T,"1,66,537","1,04,058",60.04247631,6.004247631,0.500353969,99992,266529,54.03822868,89993,256530,48.03398105,79994,246531,4.002831752,6666,253197
Udupi,Karnataka,C-1T,"1,65,401","1,06,654",55.08185347,5.508185347,0.459015446,91105,256506,49.57366812,81995,247396,44.06548278,72884,238285,3.672123568,6073,244358
Katihar,Bihar,C-1T,"1,64,937","1,15,169",43.21301739,4.321301739,0.360108478,71274,236211,38.89171565,64146,229083,34.57041391,57019,221956,2.880867824,4751,226707
Proddatur,Andhra Pradesh,C-1T,"1,63,600","86,896",88.27103664,8.827103664,0.735591972,144411,308011,79.44393298,129970,293570,70.61682931,115529,279129,5.884735776,9627,288756
Mahbubnagar,Telangana,C-1T,"1,58,000","1,02,453",54.21705563,5.421705563,0.451808797,85662,243662,48.79535007,77096,235096,43.3736445,68530,226530,3.614470376,5710,232240
Kallakurichi,Tamil Nadu,M,"1,57,628","1,14,045",38.21561664,3.821561664,0.318463472,60238,217866,34.39405498,54214,211842,30.57249331,48190,205818,2.547707776,4015,209833
Saharsa,Bihar,C-1T,"1,55,175","1,25,167",23.97437024,2.397437024,0.199786419,37202,192377,21.57693322,33482,188657,19.17949619,29761,184936,1.598291352,2480,187416
Dibrugarh,Assam,C-1T,"1,54,296","1,37,661",12.08403251,1.208403251,0.100700271,18645,172941,10.87562926,16780,171076,9.667226008,14916,169212,0.805602168,1243,170455
Jorhat,Assam,C-1T,"1,53,889","1,12,026",37.36900362,3.736900362,0.311408364,57506,211395,33.63210326,51756,205645,29.8952029,46005,199894,2.491266912,3833,203727
Hazaribagh,Jharkhand,C-1T,"1,53,599","1,27,243",20.71312371,2.071312371,0.172609364,31815,185414,18.64181134,28633,182232,16.57049897,25452,179051,1.380874912,2121,181172
Hindupur,Andhra Pradesh,C-1T,"1,51,835",85653,77.26757965,7.726757965,0.643896497,117319,269154,69.54082169,105587,257422,61.81406372,93855,245690,5.151171976,7821,253511
Khairthal,Rajasthan,M,150298,"1,02,453",46.69946219,4.669946219,0.389162185,70188,220486,42.02951597,63169,213467,37.35956975,56150,206448,3.11329748,4679,211127
Medinipur,West Bengal,M,"1,49,769","94,585",58.34328911,5.834328911,0.486194076,87380,237149,52.5089602,78642,228411,46.67463129,69904,219673,3.889552608,5825,225498
Nagaon,Assam,C-1T,"1,48,496","1,23,265",20.46890845,2.046890845,0.170574237,30395,178891,18.42201761,27355,175851,16.37512676,24316,172812,1.364593896,2026,174838
Sasaram,Bihar,C-1T,"1,47,396","1,31,172",12.36849328,1.236849328,0.103070777,18230,165626,11.13164395,16407,163803,9.894794624,14584,161980,0.824566216,1215,163195
Hajipur,Bihar,C-1T,"1,47,200","1,19,412",23.27069306,2.327069306,0.193922442,34254,181454,20.94362375,30829,178029,18.61655445,27403,174603,1.551379536,2283,176886
Giridih,Jharkhand,C-1T,"1,46,283","98,403",48.65705314,4.865705314,0.405475443,71176,217459,43.79134783,64059,210342,38.92564251,56941,203224,3.243803544,4745,207969
Bhimavaram,Andhra Pradesh,C-1T,"1,43,569","1,24,894",14.95267987,1.495267987,0.124605666,21467,165036,13.45741188,19320,162889,11.9621439,17173,160742,0.996845328,1431,162173
Kumbakonam,Tamil Nadu,C-1T,"1,40,519","1,44,021",-2.431589838,-0.243158984,-0.020263249,-3416,137102,-2.188430856,-3075,137443,-1.945271872,-2733,137786,-0.162105992,-227,137559
Bongaigaon,Assam,C-1T,"1,39,570","1,01,213",37.89730568,3.789730568,0.315810881,52893,192463,34.10757511,47603,187173,30.31784454,42314,181884,2.526487048,3526,185410
Dehri,Bihar,C-1T,"1,38,145","1,19,057",16.03265663,1.603265663,0.133605472,22148,160293,14.42939097,19933,158078,12.8261253,17718,155863,1.068843776,1476,157339
Madanapalle,Andhra Pradesh,C-1T,"1,35,645",95653,41.8094571,4.18094571,0.348412143,56712,192357,37.62851139,51041,186686,33.44756568,45369,181014,2.787297144,3780,184794
